cp,ko,en,fr,es
⛴,페리,ferry,ferry,ferri
🛥,모터보트,motor boat,bateau à moteur,barco a motor
🚢,선박,ship,navire,barco
✈,비행기,airplane,avion,avión
🛩,경비행기,small airplane,petit avion,avioneta
🛫,비행기 이륙,airplane departure,avion au décollage,avión despegando
🛬,비행기 착륙,airplane arrival,avion à l’atterrissage,avión aterrizando
🪂,낙하산,parachute,parachute,paracaídas
💺,좌석,seat,siège,asiento de transporte
🚁,헬리콥터,helicopter,hélicoptère,helicóptero
🚟,매달린 케이블카,suspension railway,train suspendu,ferrocarril de suspensión
🚠,산악 케이블카,mountain cableway,téléphérique,teleférico de montaña
🚡,케이블카,aerial tramway,tramway aérien,teleférico
🛰,인공위성,satellite,satellite,satélite
🚀,로켓,rocket,fusée,cohete
🛸,비행접시,flying saucer,soucoupe volante,platillo volante
🛎,호출 벨,bellhop bell,cloche de comptoir,timbre de hotel
🧳,여행용 가방,luggage,bagage,equipaje
⌛,시간이 다 된 모래시계,hourglass done,sablier,reloj de arena sin tiempo
⏳,시간이 남은 모래시계,hourglass not done,sablier avec sable qui coule,reloj de arena con tiempo
⌚,시계,watch,montre,reloj
⏰,알람 시계,alarm clock,réveil,reloj despertador
⏱,스톱워치,stopwatch,chronomètre,cronómetro
⏲,타이머 시계,timer clock,horloge,temporizador
🕰,벽난로 선반 시계,mantelpiece clock,pendule,reloj de sobremesa
🕛,열두 시,twelve o’clock,midi/minuit,12 en punto
🕧,열두 시 반,twelve-thirty,midi/minuit et demie,doce y media
🕐,한 시,one o’clock,une heure,1 en punto
🕜,한 시 반,one-thirty,une heure et demie,una y media
🕑,두 시,two o’clock,deux heures,2 en punto
🕝,두 시 반,two-thirty,deux heures et demie,dos y media
🕒,세 시,three o’clock,trois heures,3 en punto
🕞,세 시 반,three-thirty,trois heures et demie,tres y media
🕓,네 시,four o’clock,quatre heures,4 en punto
🕟,네 시 반,four-thirty,quatre heures et demie,cuatro y media
🕔,다섯 시,five o’clock,cinq heures,5 en punto
🕠,다섯 시 반,five-thirty,cinq heures et demie,cinco y media
🕕,여섯 시,six o’clock,six heures,6 en punto
🕡,여섯 시 반,six-thirty,six heures et demie,seis y media
🕖,일곱 시,seven o’clock,sept heures,7 en punto
🕢,일곱 시 반,seven-thirty,sept heures et demie,siete y media
🕗,여덟 시,eight o’clock,huit heures,8 en punto
🕣,여덟 시 반,eight-thirty,huit heures et demie,ocho y media
🕘,아홉 시,nine o’clock,neuf heures,9 en punto
🕤,아홉 시 반,nine-thirty,neuf heures et demie,nueve y media
🕙,열 시,ten o’clock,dix heures,10 en punto
🕥,열 시 반,ten-thirty,dix heures et demie,diez y media
🕚,열한 시,eleven o’clock,onze heures,11 en punto
🕦,열한 시 반,eleven-thirty,onze heures et demie,once y media
🌑,삭,new moon,nouvelle lune,luna nueva
🌒,초승달 상현,waxing crescent moon,lune croissante,luna creciente
🌓,오른쪽 반달,first quarter moon,premier quartier de lune,luna en cuarto creciente
🌔,상현달,waxing gibbous moon,lune gibbeuse croissante,luna gibosa creciente
🌕,보름달,full moon,pleine lune,luna llena
🌖,하현달,waning gibbous moon,lune gibbeuse décroissante,luna gibosa menguante
🌗,왼쪽 반달,last quarter moon,dernier quartier,luna en cuarto menguante
🌘,그믐달 하현,waning crescent moon,lune décroissante,luna menguante
🌙,초승달,crescent moon,croissant de lune,luna
🌚,얼굴이 있는 삭,new moon face,nouvelle lune avec visage,luna nueva con cara
🌛,얼굴이 있는 초승달,first quarter moon face,premier quartier de lune avec visage,luna de cuarto creciente con cara
🌜,그믐달,last quarter moon face,dernier quartier de lune avec visage,luna de cuarto menguante con cara
🌡,온도계,thermometer,thermomètre,termómetro
☀,태양,sun,soleil,sol
🌝,얼굴이 있는 보름달,full moon face,pleine lune avec visage,luna llena con cara
🌞,얼굴이 있는 해,sun with face,soleil avec visage,sol con cara
🪐,고리가 있는 행성,ringed planet,planète à anneaux,planeta con anillos
⭐,별,star,étoile,estrella blanca mediana
🌟,반짝이는 별,glowing star,étoile brillante,estrella brillante
🌠,별똥별,shooting star,étoile filante,estrella fugaz
🌌,은하수,milky way,voie lactée,Vía Láctea
☁,구름,cloud,nuage,nube
⛅,구름 뒤의 해,sun behind cloud,soleil derrière les nuages,sol detrás de una nube
⛈,번개가 치는 비구름,cloud with lightning and rain,nuage avec éclair et pluie,nube con rayo y lluvia
🌤,작은 구름 뒤의 태양,sun behind small cloud,soleil derrière un petit nuage,sol detrás de una nube pequeña
🌥,큰 구름 뒤의 태양,sun behind large cloud,soleil derrière un gros nuage,sol detrás de una nube grande
🌦,비구름 뒤의 태양,sun behind rain cloud,soleil derrière un nuage de pluie,sol detrás de una nube con lluvia
🌧,비구름,cloud with rain,nuage avec pluie,nube con lluvia
🌨,눈구름,cloud with snow,nuage avec neige,nube con nieve
🌩,번개구름,cloud with lightning,nuage avec éclair,nube con rayo
🌪,토네이도,tornado,tornade,tornado
🌫,안개,fog,brouillard,niebla
🌬,얼굴이 있는 바람,wind face,vent avec visage,cara de viento
🌀,태풍,cyclone,cyclone,ciclón
🌈,무지개,rainbow,arc-en-ciel,arcoíris
🌂,접힌 우산,closed umbrella,parapluie fermé,paraguas cerrado
☂,우산,umbrella,parapluie ouvert,paraguas
☔,빗방울이 있는 우산,umbrella with rain drops,parapluie avec gouttes de pluie,paraguas con gotas de lluvia
⛱,땅에 꽂힌 파라솔,umbrella on ground,parasol sur le sol,sombrilla en la arena
⚡,고압 주의,high voltage,symbole de haute tension,alto voltaje
❄,눈송이,snowflake,flocon,copo de nieve
☃,눈사람,snowman,bonhomme de neige,muñeco de nieve con nieve
⛄,스노우맨,snowman without snow,bonhomme de neige sans neige,muñeco de nieve
☄,혜성,comet,comète,meteorito
🔥,불,fire,feu,fuego
💧,물방울,droplet,goutte d’eau,gota
🌊,파도,water wave,vague,ola de mar
🎃,할로윈,jack-o-lantern,citrouille,calabaza de Halloween
🎄,크리스마스 트리,Christmas tree,sapin de Noël,árbol de Navidad
🎆,불꽃놀이,fireworks,feu d’artifice,fuegos artificiales
🎇,불꽃,sparkler,cierge magique,bengala
🧨,폭죽,firecracker,pétard,petardo
✨,블링블링,sparkles,étincelles,chispas
🎈,풍선,balloon,ballon gonflable,globo
🎉,파티,party popper,cotillons,cañón de confeti
🎊,박 터트리기,confetti ball,confettis,bola de confeti
🎋,소원을 건 나무,tanabata tree,arbre à vœux,árbol de tanabata
🎍,일본 장식,pine decoration,bambou décoratif,decoración de pino
🎎,일본 인형,Japanese dolls,poupées japonaises,muñecas japonesas
🎏,물고기 깃발,carp streamer,koinobori,banderín de carpas
🎐,풍경,wind chime,carillon éolien,campanilla de viento
🎑,달맞이,moon viewing ceremony,cérémonie de la lune,ceremonia de contemplación de la luna
🧧,세뱃돈,red envelope,enveloppe rouge,sobre rojo
🎀,리본,ribbon,ruban,lazo
🎁,선물,wrapped gift,cadeau,regalo
🎗,추모 리본,reminder ribbon,ruban de mémoire,lazo conmemorativo
🎟,입장 티켓,admission tickets,billet d’entrée,entradas
🎫,티켓,ticket,billet,tique
🎖,무공 훈장,military medal,médaille militaire,medalla militar
🏆,트로피,trophy,trophée,trofeo
🏅,스포츠 메달,sports medal,médaille sportive,medalla deportiva
🥇,금메달,1st place medal,médaille d’or,medalla de oro
🥈,은메달,2nd place medal,médaille d’argent,medalla de plata
🥉,동메달,3rd place medal,médaille de bronze,medalla de bronce
⚽,축구공,soccer ball,ballon de football,balón de fútbol
⚾,야구공,baseball,baseball,béisbol
🥎,소프트볼,softball,softball,pelota de softball
🏀,농구,basketball,basket,balón de baloncesto
🏐,배구공,volleyball,volley-ball,voleibol
🏈,미식축구공,american football,football américain,balón de fútbol americano
🏉,럭비공,rugby football,rugby,balón de rugby
🎾,테니스,tennis,tennis,pelota de tenis
🥏,원반,flying disc,disque-volant,disco volador
🎳,볼링,bowling,bowling,bolos
🏏,크리켓,cricket game,cricket,críquet
🏑,필드 하키,field hockey,hockey sur gazon,hockey sobre hierba
🏒,아이스 하키와 퍽,ice hockey,hockey sur glace,hockey sobre hielo
🥍,라크로스,lacrosse,crosse,lacrosse
🏓,탁구,ping pong,ping-pong,tenis de mesa
🏸,배드민턴,badminton,badminton,bádminton
🥊,권투 글러브,boxing glove,gant de boxe,guante de boxeo
🥋,도복,martial arts uniform,tenue d’arts martiaux,uniforme de artes marciales
🥅,골대,goal net,cage,portería
⛳,골프,flag in hole,drapeau de golf,banderín en hoyo
⛸,아이스 스케이트,ice skate,patin à glace,patín de hielo
🎣,낚싯대,fishing pole,pêche à la ligne,caña de pescar
🤿,다이빙 마스크,diving mask,masque de plongée,máscara de buceo
🎽,러닝 셔츠,running shirt,maillot de course,camiseta sin mangas
🎿,스키,skis,ski,esquís
🛷,썰매,sled,luge,trineo
🥌,컬링 스톤,curling stone,pierre de curling,piedra de curling
🎯,과녁 명중,direct hit,dans le mille,diana
🪀,요요,yo-yo,yoyo,yoyó
🪁,연,kite,cerf-volant,cometa
🎱,당구,pool 8 ball,billard,bola negra de billar
🔮,수정 구슬,crystal ball,boule de cristal,bola de cristal
🧿,악마의 눈,nazar amulet,mauvais œil,ojo turco
🎮,비디오 게임,video game,jeu vidéo,mando de videoconsola
🕹,조이스틱,joystick,manette de jeu,joystick
🎰,슬롯 머신,slot machine,machine à sous,máquina tragaperras
🎲,주사위,game die,dés,dado
🧩,퍼즐,puzzle piece,pièce de puzzle,pieza de puzle
🧸,테디 베어,teddy bear,ours en peluche,osito de peluche
♠,스페이드,spade suit,pique,palo de picas
♥,하트,heart suit,cœur cartes,palo de corazones
♦,다이아몬드,diamond suit,carreau,palo de diamantes
♣,클럽,club suit,trèfle cartes,palo de tréboles
♟,체스 폰,chess pawn,pion d’échec,peón de ajedrez
🃏,조커,joker,carte Joker,comodín
🀄,마작,mahjong red dragon,dragon rouge mahjong,dragón rojo de mahjong
🎴,화투,flower playing cards,jeu des fleurs,cartas de flores
🎭,가면,performing arts,spectacle vivant,máscaras de teatro
🖼,그림 액자,framed picture,cadre avec image,cuadro enmarcado
🎨,팔레트,artist palette,palette de peinture,paleta de pintor
🧵,실타래,thread,bobine de fil,hilo
🧶,실뭉치,yarn,fil,ovillo
👓,안경,glasses,lunettes de vue,gafas
🕶,선글라스,sunglasses,lunettes de soleil,gafas de sol
🥽,고글,goggles,lunettes,gafas de protección
🥼,실험실 가운,lab coat,blouse blanche,bata de laboratorio
🦺,구명조끼,safety vest,gilet de sécurité,chaleco de seguridad
👔,넥타이,necktie,cravate,corbata
👕,티셔츠,t-shirt,T-shirt,camiseta
👖,바지,jeans,jean,vaqueros
🧣,스카프,scarf,foulard,bufanda
🧤,장갑,gloves,gants,guantes
🧥,코트,coat,manteau,abrigo
🧦,양말,socks,chaussettes,calcetines
👗,원피스,dress,robe,vestido
👘,기모노,kimono,kimono,kimono
🥻,사리,sari,sari,sari
🩱,원피스 수영복,one-piece swimsuit,maillot de bain une pièce,traje de baño de una pieza
🩲,삼각 수영복,briefs,slip,ropa interior
🩳,반바지,shorts,short,pantalones cortos
👙,비키니,bikini,bikini,bikini
👚,여성복,woman’s clothes,vêtements de femme,ropa de mujer
👛,지갑,purse,porte-monnaie,monedero
👜,핸드백,handbag,sac à main,bolso
👝,파우치,clutch bag,pochette,bolso de mano
🛍,쇼핑백,shopping bags,sacs de shopping,bolsas de compras
🎒,학교 가방,backpack,cartable,mochila escolar
👞,남성용 구두,man’s shoe,chaussure d’homme,zapato de hombre
👟,운동화,running shoe,chaussure de sport,zapatilla deportiva
🥾,등산화,hiking boot,chaussure de randonnée,bota de senderismo
🥿,플랫 슈즈,flat shoe,chaussure plate,bailarina
👠,하이힐,high-heeled shoe,chaussure à talon haut,zapato de tacón
👡,샌들,woman’s sandal,sandale de femme,sandalia de mujer
🩰,발레 슈즈,ballet shoes,chaussons de danse,zapatillas de ballet
👢,부츠,woman’s boot,botte de femme,bota de mujer
👑,왕관,crown,couronne,corona
👒,여성용 모자,woman’s hat,chapeau de femme,sombrero de mujer
🎩,마술사 모자,top hat,haut de forme,sombrero de copa
🎓,졸업 모자,graduation cap,toque universitaire,birrete
🧢,야구모자,billed cap,casquette américaine,gorra con visera
⛑,흰 십자가가 있는 헬멧,rescue worker’s helmet,casque de secouriste,casco con una cruz blanca
📿,묵주,prayer beads,chapelet,rosario
💄,립스틱,lipstick,rouge à lèvres,pintalabios
💍,반지,ring,bague,anillo
💎,원석,gem stone,pierre précieuse,piedra preciosa
🔇,무음,muted speaker,muet,altavoz silenciado
🔈,스피커,speaker low volume,volume des enceintes faible,altavoz a volumen bajo
🔉,스피커 소리 작게,speaker medium volume,volume des enceintes moyen,altavoz a volumen medio
🔊,스피커 소리 크게,speaker high volume,volume des enceintes élevé,altavoz a volumen alto
📢,확성기,loudspeaker,haut-parleur,altavoz de mano
📣,메가폰,megaphone,porte-voix,megáfono
📯,호른,postal horn,cor postal,corneta de posta
🔔,종,bell,cloche,campana
🔕,음소거,bell with slash,alarme désactivée,campana con signo de cancelación
🎼,높은음자리표,musical score,partition,pentagrama
🎵,음표,musical note,note de musique,nota musical
🎶,노래 음표,musical notes,notes de musique,notas musicales
🎙,스튜디오 마이크,studio microphone,micro de studio,micrófono de estudio
🎚,레벨 슬라이더,level slider,curseur de niveau,control de volumen
🎛,컨트롤 레버,control knobs,boutons de réglage,ruedas de control
🎤,마이크,microphone,micro,micrófono
🎧,헤드폰,headphone,casque,auricular
📻,라디오,radio,radio,radio
🎷,색소폰,saxophone,saxophone,saxofón
🎸,기타,guitar,guitare,guitarra
🎹,피아노,musical keyboard,piano,teclado musical
🎺,트럼펫,trumpet,trompette,trompeta
🎻,바이올린,violin,violon,violín
🪕,밴조,banjo,banjo,banjo
🥁,드럼,drum,batterie,tambor
📱,휴대전화,mobile phone,téléphone portable,teléfono móvil
📲,왼쪽에 화살표가 있는 휴대전화,mobile phone with arrow,appel entrant,móvil con una flecha
☎,전화기,telephone,téléphone,teléfono
📞,수화기,telephone receiver,combiné téléphonique,auricular de teléfono
📟,삐삐,pager,bipeur,busca
📠,팩스,fax machine,fax,máquina de fax
🔋,배터리,battery,pile,pila
🔌,전기 플러그,electric plug,câble avec fiche électrique,enchufe eléctrico
💻,노트북,laptop,ordinateur portable,ordenador portátil
🖥,데스크톱 컴퓨터,desktop computer,ordinateur de bureau,ordenador de sobremesa
🖨,프린터,printer,imprimante,impresora
⌨,키보드,keyboard,clavier,teclado
🖱,컴퓨터 마우스,computer mouse,souris d’ordinateur,ratón de ordenador
🖲,트랙볼,trackball,boule de commande,bola de desplazamiento
💽,엠디,computer disk,disque d’ordinateur,minidisc
💾,플로피 디스크,floppy disk,disquette,disquete
💿,씨디,optical disk,CD,disco óptico
📀,디비디,dvd,DVD,disco DVD
🧮,주판,abacus,abaque,ábaco
🎥,영화 카메라,movie camera,caméra,cámara de cine
🎞,영화 프레임,film frames,pellicule,fotograma de película
📽,영화 프로젝터,film projector,projecteur cinématographique,proyector de cine
🎬,슬레이트,clapper board,clap,claqueta
📺,텔레비전,television,téléviseur,televisión
📷,카메라,camera,appareil photo,cámara de fotos
📸,플래시를 터트리고 있는 카메라,camera with flash,appareil photo avec flash,cámara con flash
📹,캠코더,video camera,caméscope,videocámara
📼,비디오테이프,videocassette,cassette vidéo,cinta de vídeo
🔍,왼쪽으로 향한 돋보기,magnifying glass tilted left,loupe orientée à gauche,lupa orientada hacia la izquierda
🔎,오른쪽으로 향한 돋보기,magnifying glass tilted right,loupe orientée à droite,lupa orientada hacia la derecha
🕯,양초,candle,bougie,vela
💡,전구,light bulb,ampoule,bombilla
🔦,손전등,flashlight,torche,linterna
🏮,일본식 등,red paper lantern,lampion rouge,lámpara japonesa
🪔,기름 램프,diya lamp,diya,lámpara de aceite
📔,표지가 있는 노트,notebook with decorative cover,carnet avec couverture,cuaderno con tapa decorativa
📕,펼치지 않은 책,closed book,livre fermé,libro cerrado
📖,펼쳐진 책,open book,livre ouvert,libro abierto
📗,초록색 책,green book,livre vert,libro verde
📘,파란색 책,blue book,livre bleu,libro azul
📙,주황색 책,orange book,livre orange,libro naranja
📚,책 여러 권,books,livres,libros
📓,공책,notebook,carnet,cuaderno
📒,노트,ledger,carnet de compte,libro de contabilidad
📃,안으로 말린 문서,page with curl,page enroulée,página doblada
📜,문서,scroll,parchemin,pergamino
📄,오른쪽 모서리가 접힌 문서,page facing up,page,página hacia arriba
📰,신문,newspaper,journal,periódico
🗞,돌돌 말린 신문,rolled-up newspaper,journal roulé,periódico enrollado
📑,북마크 탭,bookmark tabs,signets,marcadores
🔖,북마크,bookmark,marque-page,marcapáginas
🏷,라벨,label,étiquette,etiqueta
💰,돈주머니,money bag,sac plein d’argent,bolsa de dinero
💴,엔,yen banknote,billet en yens,billete de yen
💵,달러,dollar banknote,billet en dollars,billete de dólar
💶,유로,euro banknote,billet en euros,billete de euro
💷,파운드,pound banknote,billet en livres,billete de libra
💸,날개 달린 돈,money with wings,billet avec des ailes,billete con alas
💳,신용카드,credit card,carte bancaire,tarjeta de crédito
🧾,영수증,receipt,reçu,recibo
💹,엔화 관련 상승하는 그래프,chart increasing with yen,courbe avec yen en hausse,mercado al alza
💱,환전,currency exchange,conversion de devise,cambio de divisas
💲,미국 달러,heavy dollar sign,dollar,símbolo de dólar
✉,봉투,envelope,enveloppe,sobre
📧,이메일,e-mail,e-mail,correo electrónico
📨,받은 편지,incoming envelope,message reçu,sobre entrante
📩,보낸 편지,envelope with arrow,enveloppe avec flèche,sobre con flecha
📤,보낸 편지함,outbox tray,boîte d’envoi,bandeja de salida
📥,받은 편지함,inbox tray,boîte de réception,bandeja de entrada
📦,소포,package,colis,paquete
📫,표지가 올라간 닫힌 우편함,closed mailbox with raised flag,boîte aux lettres fermée drapeau levé,buzón cerrado con la bandera levantada
📪,표지가 내려간 닫힌 우편함,closed mailbox with lowered flag,boîte aux lettres fermée drapeau baissé,buzón cerrado con la bandera bajada
📬,표지가 올라간 열린 우편함,open mailbox with raised flag,boîte aux lettres ouverte drapeau levé,buzón abierto con la bandera levantada
📭,표지가 내려간 열린 우편함,open mailbox with lowered flag,boîte aux lettres ouverte drapeau baissé,buzón abierto con la bandera bajada
📮,우편함,postbox,boîte aux lettres,buzón
🗳,투표 용지가 있는 투표 상자,ballot box with ballot,urne électorale,urna con papeleta
✏,연필,pencil,crayon,lápiz
✒,검은색 펜촉,black nib,stylo plume noir,pluma negra
🖋,만년필,fountain pen,stylo plume,estilográfica
🖊,펜,pen,stylo,bolígrafo
🖌,붓,paintbrush,pinceau,pincel
🖍,크레용,crayon,crayon pastel,lápiz de cera
📝,메모,memo,mémo,cuaderno de notas
💼,서류 가방,briefcase,porte-documents,maletín
📁,폴더,file folder,dossier,carpeta de archivos
📂,폴더 열기,open file folder,dossier ouvert,carpeta de archivos abierta
🗂,카드 색인 파일,card index dividers,intercalaires,separador de fichas
📅,달력,calendar,calendrier,calendario
📆,뜯어진 달력,tear-off calendar,éphéméride,calendario recortable
🗒,스프링 노트,spiral notepad,bloc-notes à spirale,bloc de notas de espiral
🗓,스프링 달력,spiral calendar,calendrier à spirale,calendario de espiral
📇,카드 인덱스,card index,carnet d’adresses,organizador de fichas
📈,상승하는 그래프,chart increasing,graphique en hausse,gráfica de evolución ascendente
📉,내려가는 그래프,chart decreasing,graphique en baisse,gráfica de evolución descendente
📊,막대 그래프,bar chart,graphiques à barres,gráfico de barras
📋,클립보드,clipboard,porte-bloc,portapapeles
📌,압정,pushpin,punaise,chincheta
📍,둥근 머리 핀,round pushpin,épingle,chincheta redonda
📎,클립,paperclip,trombone,clip
🖇,이어져 있는 클립,linked paperclips,trombones,clips unidos
📏,자,straight ruler,règle,regla
📐,삼각자,triangular ruler,équerre,escuadra
✂,가위,scissors,ciseaux,tijeras
🗃,카드 파일 상자,card file box,boîte à dossiers,archivador de tarjetas
🗄,파일 보관 서랍장,file cabinet,meuble à dossiers,archivador
🗑,쓰레기통,wastebasket,corbeille à papiers,papelera
🔒,자물쇠,locked,cadenas fermé,candado cerrado
🔓,열린 자물쇠,unlocked,cadenas ouvert,candado abierto
🔏,자물쇠와 펜,locked with pen,cadenas fermé avec stylo,candado con pluma estilográfica
🔐,자물쇠와 열쇠,locked with key,cadenas fermé avec clé,candado cerrado y llave
🔑,열쇠,key,clé,llave
🗝,오래된 열쇠,old key,clé ancienne,llave antigua
🔨,망치,hammer,marteau,martillo
🪓,도끼,axe,hache,hacha
⛏,곡괭이,pick,pioche,pico
⚒,망치와 곡괭이,hammer and pick,marteau et pioche,martillo y pico
🛠,망치와 렌치,hammer and wrench,marteau et clé à molette,martillo y llave inglesa
🗡,단검,dagger,dague,puñal
⚔,쌍검,crossed swords,épées croisées,espadas cruzadas
🔫,총,pistol,pistolet,pistola
🏹,활과 화살,bow and arrow,arc et flèche,arco y flecha
🛡,방패,shield,bouclier,escudo
🔧,렌치,wrench,clé à molette,llave inglesa
🔩,볼트와 너트,nut and bolt,vis et écrou,tornillo y tuerca
⚙,톱니바퀴,gear,roue dentée,engranaje
🗜,압축기,clamp,serre-joint,tornillo de banco
⚖,접시저울,balance scale,balance à poids,balanza
🦯,시각장애인 지팡이,white cane,canne blanche,bastón
🔗,링크,link,chaînons,eslabón
⛓,쇠사슬,chains,chaînes,cadenas
🧰,공구통,toolbox,boîte à outils,caja de herramientas
🧲,자석,magnet,aimant,imán
⚗,증류기,alembic,alambic,alambique
🧪,시험관,test tube,tube à essai,tubo de ensayo
🧫,페트리 접시,petri dish,boîte de pétri,placa de petri
🧬,DNA,dna,adn,adn
🔬,현미경,microscope,microscope,microscopio
🔭,망원경,telescope,télescope,telescopio
📡,위성 안테나,satellite antenna,antenne satellite,antena de satélite
💉,주사기,syringe,seringue,jeringuilla
🩸,핏방울,drop of blood,goutte de sang,gota de sangre
💊,알약,pill,pilule,píldora
🩹,반창고,adhesive bandage,sparadrap,tirita
🩺,청진기,stethoscope,stéthoscope,estetoscopio
🚪,문,door,porte,puerta
🛏,침대,bed,lit,cama
🛋,소파와 전등,couch and lamp,canapé et lampe,sofá y lámpara
🪑,의자,chair,chaise,silla
🚽,변기,toilet,toilettes,inodoro
🚿,샤워,shower,douche,ducha
🛁,욕조,bathtub,baignoire,bañera
🪒,면도칼,razor,rasoir,cuchilla de afeitar
🧴,로션,lotion bottle,bouteille de lotion,bote de crema
🧷,옷핀,safety pin,épingle de sûreté,imperdible
🧹,빗자루,broom,balai,escoba
🧺,바구니,basket,panier,cesta
🧻,두루마리,roll of paper,rouleau de papier,rollo de papel
🧼,비누,soap,savon,jabón
🧽,스펀지,sponge,éponge,esponja
🧯,소화기,fire extinguisher,extincteur,extintor
🛒,쇼핑카트,shopping cart,chariot,carrito de la compra
🚬,흡연 구역 신호,cigarette,cigarette,cigarrillo
⚰,관,coffin,cercueil,ataúd
⚱,납골 단지,funeral urn,urne funéraire,urna funeraria
🗿,모아이,moai,moai,estatua moái
🏧,에이티엠,ATM sign,distributeur de billets,señal de cajero automático
🚮,쓰레기는 쓰레기통에,litter in bin sign,icône Poubelle,señal de usar papelera
🚰,음수대,potable water,eau potable,agua potable
♿,휠체어,wheelchair symbol,symbole Accès handicapés,símbolo de silla de ruedas
🚹,남자 화장실,men’s room,symbole Toilettes hommes,aseo para hombres
🚺,여자 화장실,women’s room,symbole Toilettes femmes,señal de aseo para mujeres
🚻,화장실,restroom,panneau Toilettes,señal de aseos
🚼,수유실,baby symbol,symbole Bébé,señal de bebé
🚾,더블유씨,water closet,WC,aseos
🛂,출입국 심사,passport control,contrôle des passeports,control de pasaportes
🛃,세관,customs,douane,aduana
🛄,짐 찾는 곳,baggage claim,retrait des bagages,recogida de equipajes
🛅,화물 서비스,left luggage,consigne,consigna
⚠,주의,warning,symbole d’avertissement,advertencia
🚸,어린이 보호 구역,children crossing,traversée d’enfants,niños cruzando
⛔,진입 금지,no entry,sens interdit,dirección prohibida
🚫,금지,prohibited,symbole d’interdiction,prohibido
🚳,자전거 금지,no bicycles,vélos interdits,bicicletas prohibidas
🚭,금연 신호,no smoking,interdiction de fumer,prohibido fumar
🚯,쓰레기 투기 금지,no littering,dépôt d’ordures interdit,prohibido tirar basura
🚱,마실 수 없는 물,non-potable water,eau non potable,agua no potable
🚷,보행자 금지,no pedestrians,interdit aux piétons,prohibido el paso de peatones
📵,휴대전화 사용금지,no mobile phones,téléphones portables interdits,prohibido el uso de móviles
🔞,성인용,no one under eighteen,18 ans et plus,prohibido para menos de 18 años
☢,방사능,radioactive,radioactif,radiactivo
☣,생물학적 위험,biohazard,danger biologique,riesgo biológico
⬆,상향 화살표,up arrow,flèche haut,flecha hacia arriba
↗,우상향 화살표,up-right arrow,flèche haut droite,flecha hacia la esquina superior derecha
➡,우향 화살표,right arrow,flèche droite,flecha hacia la derecha
↘,우하향 화살표,down-right arrow,flèche bas droite,flecha hacia la esquina inferior derecha
⬇,하향 화살표,down arrow,flèche bas,flecha hacia abajo
↙,좌하향 화살표,down-left arrow,flèche bas gauche,flecha hacia la esquina inferior izquierda
⬅,좌향 화살표,left arrow,flèche gauche,flecha hacia la izquierda
↖,좌상향 화살표,up-left arrow,flèche haut gauche,flecha hacia la esquina superior izquierda
↕,상하향 화살표,up-down arrow,flèche haut bas,flecha arriba y abajo
↔,좌우향 화살표,left-right arrow,flèche gauche droite,flecha izquierda y derecha
↩,왼쪽으로 꺾어지는 우향 화살표,right arrow curving left,flèche courbe gauche,flecha derecha curvándose a la izquierda
↪,오른쪽으로 꺾어지는 좌향 화살표,left arrow curving right,flèche courbe droite,flecha izquierda curvándose a la derecha
⤴,위쪽으로 꺾어지는 우향 화살표,right arrow curving up,flèche courbe haut,flecha derecha curvándose hacia arriba
⤵,아래쪽으로 꺾어지는 우향 화살표,right arrow curving down,flèche courbe bas,flecha derecha curvándose hacia abajo
🔃,시계 방향 화살표,clockwise vertical arrows,flèches dans le sens horaire,flechas verticales en sentido horario
🔄,반시계 방향 화살표,counterclockwise arrows button,flèches dans le sens antihoraire,flechas en sentido antihorario
🔙,뒤로,BACK arrow,flèche Retour,flecha BACK
🔚,종료,END arrow,flèche Fin,flecha END
🔛,켜짐,ON! arrow,flèche Activé,flecha ON!
🔜,곧,SOON arrow,flèche Bientôt,flecha SOON
🔝,위로 화살표,TOP arrow,flèche En haut,flecha TOP
🛐,예배공간,place of worship,lieu de culte,lugar de culto
⚛,원자 기호,atom symbol,symbole de l’atome,símbolo de átomo
🕉,옴,om,om,om
✡,다비드별,star of David,étoile de David,estrella de David
☸,진리의 수레바퀴,wheel of dharma,roue du Dharma,rueda del dharma
☯,음양,yin yang,yin yang,yin yang
✝,라틴 십자가,latin cross,croix latine,cruz latina
☦,전통적인 십자가,orthodox cross,croix orthodoxe,cruz ortodoxa
☪,초승달과 별,star and crescent,lune et étoile,media luna y estrella
☮,평화 기호,peace symbol,symbole de paix,símbolo de la paz
🕎,메노라,menorah,chandelier à sept branches,menorá
🔯,육각 별,dotted six-pointed star,étoile à 6 branches,estrella de seis puntas
♈,양자리,Aries,bélier zodiaque,Aries
♉,황소자리,Taurus,taureau,Tauro
♊,쌍둥이 자리,Gemini,gémeaux,Géminis
♋,게자리,Cancer,cancer,Cáncer
♌,사자자리,Leo,lion,Leo
♍,처녀자리,Virgo,vierge,Virgo
♎,천칭자리,Libra,balance,Libra
♏,전갈자리,Scorpio,scorpion zodiaque,Escorpio
♐,사수자리,Sagittarius,sagittaire,Sagitario
♑,염소자리,Capricorn,capricorne,Capricornio
♒,물병자리,Aquarius,verseau,Acuario
♓,물고기자리,Pisces,poissons,Piscis
⛎,뱀주인자리,Ophiuchus,serpentaire,Ofiuco
🔀,랜덤 재생,shuffle tracks button,bouton lecture aléatoire,reproducción aleatoria
🔁,전곡 반복 재생,repeat button,bouton répétition,repetir
